Date,Grade,Team 1,Elo_1,G_1,P_1,Sc_1,Team 2,Elo_2,G_2,P_2,Sc_2,Home,Margin,Weight,T1_win_odds,Result_T1,Result_T2
09-03-2024,League,Fermanagh,504,1,13,16,Lancashire,265,1,8,11,Y,1.454545455,40,85.71%,8,-8
10-03-2024,League,Waterford,1955,1,23,26,Wexford,1841,2,23,29,Y,1.115384615,40,77.13%,-34,34
10-03-2024,League,Clare,2125,0,19,19,Kilkenny,2158,0,16,16,Y,1.1875,40,63.15%,18,-18
10-03-2024,League,Offaly,1513,0,16,16,Cork,2064,5,28,43,Y,2,40,13.63%,-11,11
10-03-2024,League,Galway,2122,1,23,26,Dublin,1849,1,15,18,Y,1.444444444,40,87.52%,7,-7
10-03-2024,League,Meath,1229,1,12,15,Laois,1480,4,26,38,Y,2,40,38.58%,-31,31
10-03-2024,League,Carlow,1556,3,20,29,Down,1197,2,18,24,Y,1.208333333,40,91.25%,4,-4
10-03-2024,League,Roscommon,807,1,14,17,Donegal,993,0,24,24,Y,1.411764706,40,45.86%,-26,26
10-03-2024,League,Wicklow,892,0,18,18,Derry,1165,0,18,18,Y,1,40,36.21%,6,-6
10-03-2024,League,London,918,0,18,18,Tyrone,893,0,11,11,Y,1.636363636,40,69.12%,20,-20
10-03-2024,League,Sligo,860,2,23,29,Monaghan,555,1,20,23,Y,1.260869565,40,89.05%,6,-6
10-03-2024,League,Mayo,837,0,28,28,Louth,470,0,13,13,Y,2,40,91.54%,7,-7
15-03-2024,League,Kildare,1220,1,16,19,Carlow,1560,0,15,15,Y,1.266666667,40,29.42%,36,-36
16-03-2024,League,Offaly,1502,1,19,22,Clare,2143,0,23,23,Y,1.045454545,40,9.44%,-4,4
16-03-2024,League,Waterford,1921,2,9,15,Kilkenny,2140,0,18,18,Y,1.2,40,42.12%,-20,20
16-03-2024,League,Wexford,1875,1,15,18,Cork,2075,3,21,30,Y,1.666666667,40,44.27%,-30,30
16-03-2024,League,Antrim,1524,0,12,12,Tipperary,2086,2,21,27,Y,2,40,13.04%,-10,10
16-03-2024,League,Dublin,1842,2,22,28,Westmeath,1532,0,15,15,Y,1.866666667,40,89.27%,8,-8
16-03-2024,League,Galway,2129,0,17,17,Limerick,2419,0,17,17,Y,1,40,34.42%,6,-6
16-03-2024,League,Laois,1511,4,20,32,Kerry,1300,1,19,22,Y,1.454545455,40,84.06%,9,-9
16-03-2024,League,Down,1193,3,19,28,Meath,1198,1,16,19,Y,1.473684211,40,66.10%,20,-20
